  354 MISANDUS.WP1   43.42  -82.83   MI SANDUSKY
  355 MISAULTS.WP1   46.47  -84.37   MI SAULT ST MAR WBAP
  356 MISOUTHH.WP1   42.40  -86.27   MI SOUTH HAVEN EX FARM
  357 MISTJAME.WP1   45.75  -85.50   MI ST JAMES BEAVER IS
  358 MISTEPHE.WP1   45.40  -87.72   MI STEPHENSON 5 W
  359 MIWATERS.WP1   46.28  -89.17   MI WATERSMEET US FRST
  360 MNARGYLE.WP1   48.33  -96.78   MN ARGYLE
  361 MNARTICH.WP1   45.37  -96.13   MN ARTICHOKE LAKE
  362 MNBABBIT.WP1   47.68  -91.92   MN BABBITT 2 SE
  363 MNBAUDET.WP1   48.42  -94.57   MN BAUDETTE 21SSE
  364 MNCAMBRI.WP1   45.57  -93.23   MN CAMBRIDGE EPLTC COL
  365 MNCANBY.WP1    44.72  -96.28   MN CANBY
  366 MNCASSLA.WP1   47.38  -94.63   MN CASS LAKE FOR  STA
  367 MNCOOK.WP1     47.87  -93.07   MN COOK 18W
  368 MNFOSSTO.WP1   47.57  -95.73   MN FOSSTON PWR PLNT
  369 MNGLENWO.WP1   45.65  -95.40   MN GLENWOOD
  370 MNGRANDM.WP1   47.75  -90.33   MN GRAND MARAIS CST GD
  371 MNGUNFLI.WP1   48.08  -90.75   MN GUNFLINT LODGE
  372 MNHIBBIN.WP1   47.38  -92.85   MN HIBBING FAA AP
  373 MNINTFAL.WP1   48.57  -93.38   MN INT FALLS WP AP
  374 MNISLE.WP1     46.25  -93.52   MN ISLE 8N
  375 MNMINNST.WP1   44.88  -93.22   MN MINN-ST PAUL WBAP
  376 MNMOOSEL.WP1   46.45  -92.75   MN MOOSE LAKE 1 SE
  377 MNMORRIS.WP1   45.58  -95.92   MN MORRIS WC SCHOOL
  378 MNNORTHM.WP1   44.17  -94.03   MN NORTH MANKATO
  379 MNPARKRA.WP1   46.90  -95.05   MN PARK RAPIDS
  380 MNPINERV.WP1   46.68  -94.12   MN PINE RVR DAM CRS LK
  381 MNPOKEGA.WP1   47.25  -93.58   MN POKEGAMA DAM
  382 MNREDLAK.WP1   47.88  -96.27   MN RED LAKE FALLS
  383 MNROSEMO.WP1   44.70  -93.12   MN ROSEMOUNT AG EX STA
  384 MNROTHSA.WP1   46.48  -96.27   MN ROTHSAY
  385 MNSANDYL.WP1   46.80  -93.32   MN SANDY LK DM LIBBY
